Year,Month,Day,Date,PrecipTotal,PrecipTotal2
2007,3,1,01/03/2007,1.09,0.37
2007,3,2,02/03/2007,0.06,0.01
2007,3,3,03/03/2007,0.02,T
2007,3,4,04/03/2007,0.00,0.00
2007,3,5,05/03/2007,0.00,0.00
2007,3,6,06/03/2007,0.05,0.01
2007,3,7,07/03/2007,0.03,0.01
2007,3,8,08/03/2007,0.00,0.00
2007,3,9,09/03/2007,0.28,0.17
2007,3,10,10/03/2007,0.00,T
2007,3,11,11/03/2007,0.00,0.00
2007,3,12,12/03/2007,T,T
2007,3,13,13/03/2007,0.00,0.00
2007,3,14,14/03/2007,0.16,0.21
2007,3,15,15/03/2007,T,T
2007,3,16,16/03/2007,0.00,0.00
2007,3,17,17/03/2007,0.00,T
2007,3,18,18/03/2007,0.00,T
2007,3,19,19/03/2007,0.06,0.36
2007,3,20,20/03/2007,0.00,T
2007,3,21,21/03/2007,1.07,0.87
2007,3,22,22/03/2007,0.09,0.22
2007,3,23,23/03/2007,0.04,0.11
2007,3,24,24/03/2007,T,T
2007,3,25,25/03/2007,0.00,0.00
2007,3,26,26/03/2007,0.00,0.00
2007,3,27,27/03/2007,0.00,0.00
2007,3,28,28/03/2007,0.20,0.32
2007,3,29,29/03/2007,0.00,0.00
2007,3,30,30/03/2007,T,T
2007,3,31,31/03/2007,0.51,0.47
2007,4,1,01/04/2007,0.09,0.03
2007,4,2,02/04/2007,0.00,0.00
2007,4,3,03/04/2007,0.15,0.07
2007,4,4,04/04/2007,T,T
2007,4,5,05/04/2007,0.00,0.00
2007,4,6,06/04/2007,0.00,0.00
2007,4,7,07/04/2007,0.00,T
2007,4,8,08/04/2007,T,0.00
2007,4,9,09/04/2007,T,T
2007,4,10,10/04/2007,0.00,0.00
2007,4,11,11/04/2007,1.15,0.91
2007,4,12,12/04/2007,0.09,0.08
2007,4,13,13/04/2007,0.00,0.00
2007,4,14,14/04/2007,0.00,T
2007,4,15,15/04/2007,0.00,0.00
2007,4,16,16/04/2007,0.00,0.00
2007,4,17,17/04/2007,T,0.00
2007,4,18,18/04/2007,T,T
2007,4,19,19/04/2007,T,T
2007,4,20,20/04/2007,0.00,0.00
2007,4,21,21/04/2007,0.00,0.00
2007,4,22,22/04/2007,T,T
2007,4,23,23/04/2007,0.00,0.00
2007,4,24,24/04/2007,0.30,0.19
2007,4,25,25/04/2007,1.06,1.24
2007,4,26,26/04/2007,0.49,0.87
2007,4,27,27/04/2007,T,0.02
2007,4,28,28/04/2007,0.00,0.00
2007,4,29,29/04/2007,0.15,0.17
2007,4,30,30/04/2007,0.01,0.03
2009,3,1,01/03/2009,T,T
2009,3,2,02/03/2009,0.01,T
2009,3,3,03/03/2009,T,T
2009,3,4,04/03/2009,0.00,0.00
2009,3,5,05/03/2009,0.00,0.00
2009,3,6,06/03/2009,0.00,0.00
2009,3,7,07/03/2009,0.87,1.26
2009,3,8,08/03/2009,1.67,1.84
2009,3,9,09/03/2009,0.08,0.06
2009,3,10,10/03/2009,0.51,0.96
2009,3,11,11/03/2009,T,T
2009,3,12,12/03/2009,0.00,T
2009,3,13,13/03/2009,0.00,0.00
2009,3,14,14/03/2009,0.00,0.00
2009,3,15,15/03/2009,0.00,0.00
2009,3,16,16/03/2009,0.00,0.00
2009,3,17,17/03/2009,0.00,0.00
2009,3,18,18/03/2009,0.00,T
2009,3,19,19/03/2009,0.00,0.00
2009,3,20,20/03/2009,0.00,0.00
2009,3,21,21/03/2009,0.00,0.00
2009,3,22,22/03/2009,0.00,0.00
2009,3,23,23/03/2009,0.04,0.01
2009,3,24,24/03/2009,0.16,0.14
2009,3,25,25/03/2009,0.00,0.00
2009,3,26,26/03/2009,T,0.00
2009,3,27,27/03/2009,0.00,0.00
2009,3,28,28/03/2009,0.47,0.49
2009,3,29,29/03/2009,0.95,0.47
2009,3,30,30/03/2009,0.00,0.00
2009,3,31,31/03/2009,0.44,0.41
2009,4,1,01/04/2009,0.00,0.00
2009,4,2,02/04/2009,0.14,0.16
2009,4,3,03/04/2009,0.04,0.07
2009,4,4,04/04/2009,0.00,0.00
2009,4,5,05/04/2009,0.51,0.35
2009,4,6,06/04/2009,T,T
2009,4,7,07/04/2009,0.00,0.00
2009,4,8,08/04/2009,0.00,0.00
2009,4,9,09/04/2009,0.00,0.00
2009,4,10,10/04/2009,0.00,0.00
2009,4,11,11/04/2009,0.00,0.00
2009,4,12,12/04/2009,0.00,0.00
2009,4,13,13/04/2009,0.29,0.48
2009,4,14,14/04/2009,T,T
2009,4,15,15/04/2009,0.00,0.00
2009,4,16,16/04/2009,0.00,0.00
2009,4,17,17/04/2009,0.00,0.00
2009,4,18,18/04/2009,T,T
2009,4,19,19/04/2009,0.90,0.86
2009,4,20,20/04/2009,0.17,0.14
2009,4,21,21/04/2009,0.09,0.11
2009,4,22,22/04/2009,0.00,0.00
2009,4,23,23/04/2009,0.32,0.20
2009,4,24,24/04/2009,T,T
2009,4,25,25/04/2009,0.84,0.09
2009,4,26,26/04/2009,0.57,0.30
2009,4,27,27/04/2009,0.55,0.94
2009,4,28,28/04/2009,0.04,0.08
2009,4,29,29/04/2009,0.02,0.03
2009,4,30,30/04/2009,0.71,0.42
2011,3,1,01/03/2011,0.00,0.00
2011,3,2,02/03/2011,0.00,0.00
2011,3,3,03/03/2011,T,0.00
2011,3,4,04/03/2011,1.11,0.61
2011,3,5,05/03/2011,0.16,0.01
2011,3,6,06/03/2011,0.00,T
2011,3,7,07/03/2011,0.00,0.00
2011,3,8,08/03/2011,0.01,0.01
2011,3,9,09/03/2011,0.39,0.38
2011,3,10,10/03/2011,T,0.01
2011,3,11,11/03/2011,0.00,0.00
2011,3,12,12/03/2011,0.00,0.00
2011,3,13,13/03/2011,0.00,0.00
2011,3,14,14/03/2011,0.00,0.00
2011,3,15,15/03/2011,0.00,T
2011,3,16,16/03/2011,0.00,0.00
2011,3,17,17/03/2011,0.00,0.00
2011,3,18,18/03/2011,0.00,0.00
2011,3,19,19/03/2011,0.00,0.00
2011,3,20,20/03/2011,0.32,0.44
2011,3,21,21/03/2011,0.02,0.01
2011,3,22,22/03/2011,0.30,0.18
2011,3,23,23/03/2011,0.30,0.13
2011,3,24,24/03/2011,0.01,T
2011,3,25,25/03/2011,T,T
2011,3,26,26/03/2011,0.00,T
2011,3,27,27/03/2011,0.00,0.00
2011,3,28,28/03/2011,0.00,0.00
2011,3,29,29/03/2011,0.00,0.00
2011,3,30,30/03/2011,0.00,0.00
2011,3,31,31/03/2011,0.00,0.00
2011,4,1,01/04/2011,0.18,0.15
2011,4,2,02/04/2011,0.00,0.00
2011,4,3,03/04/2011,0.13,0.04
2011,4,4,04/04/2011,0.11,0.12
2011,4,5,05/04/2011,0.00,0.00
2011,4,6,06/04/2011,T,T
2011,4,7,07/04/2011,0.25,0.34
2011,4,8,08/04/2011,0.51,0.51
2011,4,9,09/04/2011,0.00,0.00
2011,4,10,10/04/2011,T,0.08
2011,4,11,11/04/2011,0.00,0.00
2011,4,12,12/04/2011,0.00,0.00
2011,4,13,13/04/2011,0.00,0.00
2011,4,14,14/04/2011,T,0.00
2011,4,15,15/04/2011,0.34,0.17
2011,4,16,16/04/2011,0.20,0.13
2011,4,17,17/04/2011,0.08,0.08
2011,4,18,18/04/2011,0.49,0.34
2011,4,19,19/04/2011,0.95,0.81
2011,4,20,20/04/2011,0.01,T
2011,4,21,21/04/2011,0.03,0.01
2011,4,22,22/04/2011,0.56,0.71
2011,4,23,23/04/2011,0.00,T
2011,4,24,24/04/2011,0.00,T
2011,4,25,25/04/2011,0.34,0.37
2011,4,26,26/04/2011,0.38,0.60
2011,4,27,27/04/2011,0.31,0.28
2011,4,28,28/04/2011,0.03,0.04
2011,4,29,29/04/2011,0.00,T
2011,4,30,30/04/2011,0.00,0.00
2013,3,1,01/03/2013,0.02,T
2013,3,2,02/03/2013,T,T
2013,3,3,03/03/2013,0.00,0.00
2013,3,4,04/03/2013,T,T
2013,3,5,05/03/2013,0.66,0.22
2013,3,6,06/03/2013,T,T
2013,3,7,07/03/2013,0.00,T
2013,3,8,08/03/2013,0.00,0.00
2013,3,9,09/03/2013,0.04,0.02
2013,3,10,10/03/2013,0.87,1.00
2013,3,11,11/03/2013,0.07,0.06
2013,3,12,12/03/2013,0.05,T
2013,3,13,13/03/2013,T,T
2013,3,14,14/03/2013,T,T
2013,3,15,15/03/2013,0.20,0.16
2013,3,16,16/03/2013,T,T
2013,3,17,17/03/2013,0.00,0.00
2013,3,18,18/03/2013,0.08,0.02
2013,3,19,19/03/2013,T,T
2013,3,20,20/03/2013,T,T
2013,3,21,21/03/2013,0.00,0.00
2013,3,22,22/03/2013,0.00,0.00
2013,3,23,23/03/2013,0.00,0.00
2013,3,24,24/03/2013,0.01,T
2013,3,25,25/03/2013,T,T
2013,3,26,26/03/2013,0.00,T
2013,3,27,27/03/2013,0.00,0.00
2013,3,28,28/03/2013,0.00,0.00
2013,3,29,29/03/2013,0.00,0.00
2013,3,30,30/03/2013,T,T
2013,3,31,31/03/2013,T,T
2013,4,1,01/04/2013,0.00,0.00
2013,4,2,02/04/2013,0.00,0.00
2013,4,3,03/04/2013,0.00,0.00
2013,4,4,04/04/2013,0.00,0.00
2013,4,5,05/04/2013,0.00,0.00
2013,4,6,06/04/2013,0.04,0.08
2013,4,7,07/04/2013,T,0.00
2013,4,8,08/04/2013,0.49,0.41
2013,4,9,09/04/2013,0.20,0.18
2013,4,10,10/04/2013,0.94,1.15
2013,4,11,11/04/2013,0.24,0.13
2013,4,12,12/04/2013,T,0.02
2013,4,13,13/04/2013,T,0.01
2013,4,14,14/04/2013,T,T
2013,4,15,15/04/2013,0.36,0.32
2013,4,16,16/04/2013,0.01,T
2013,4,17,17/04/2013,2.01,1.87
2013,4,18,18/04/2013,3.54,1.66
2013,4,19,19/04/2013,0.01,T
2013,4,20,20/04/2013,0.00,T
2013,4,21,21/04/2013,0.00,0.00
2013,4,22,22/04/2013,0.00,0.00
2013,4,23,23/04/2013,0.70,0.52
2013,4,24,24/04/2013,0.04,0.01
2013,4,25,25/04/2013,0.07,0.01
2013,4,26,26/04/2013,0.00,0.00
2013,4,27,27/04/2013,0.00,T
2013,4,28,28/04/2013,0.03,0.06
2013,4,29,29/04/2013,0.00,0.00
2013,4,30,30/04/2013,0.00,0.00
