"X","Longitude","Latitude","Season_code_1","Season_code_2","Season_code_3","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","Sunrise","Sunset","Tmin2","Tavg","Depart","Heat","DewPoint","TrapClusterNum_7","TrapClusterNum_9","TrapClusterNum_1","TrapClusterNum_5","TrapClusterNum_8","TrapClusterNum_6","TrapClusterNum_2","TrapClusterNum_10","TrapClusterNum_4","TrapClusterNum_3","Month_6","Month_8","Month_9","Month_10","Month_7","Month_5","ParasiticIn","Influenza","Tmax2","Tavg2","Heat2","Tmax","Tmin","Cool","StnPressure2","WetBulb2","FG2","BR2","TS","TSRA","TS2","TSRA2","HZ","RA","AvgSpeed2","AvgSpeed","ResultSpeed","RA45","RA45_2","pre45_1_2","pre45_1","PrecipTotal"
1214,-87.726549,41.82561,0,0,1,0,0,4,0,0,0,0,536,1755,68,40,30,1,59,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,84,41,1,84,65,11,29.47,34,0,0,0,0,0,0,0,0,9,9.7,5,17,11,1,1,0
2381,-87.752411,41.778297,0,0,1,0,0,4,0,0,0,0,542,1744,60,30,22,1,57,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.26,0.6,70,30,1,70,60,1,29.44,29,0,1,0,0,0,0,0,1,6.3,7.3,5.4,11,10,1,0,0.16
1745,-87.599862,41.673408,0,1,0,0,1,1,4,0,0,0,418,1931,72,43,25,1,60,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,86,44,1,86,69,14,29.2,36,0,0,0,0,0,0,0,0,8,8.2,6.4,15,15,1,1,0
20,-87.812827,41.981964,0,1,0,0,0,0,2,0,0,0,417,1923,51,21,17,30,48,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.26,0.8,63,22,29,64,47,1,29.16,21,0,1,0,0,0,0,0,1,8.1,7.6,5.2,16.3162312117209,19.6483478067053,1,1,0.42
2275,-87.694991,41.857402,0,0,1,0,0,1,0,0,0,0,530,1805,59,36,25,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,0.6,84,37,1,84,58,7,29.4,31,0,0,0,0,0,0,0,0,2.7,2.1,0.1,12,10,1,0,0
468,-87.666343,41.822536,0,1,0,0,12,65,5,0,0,0,445,1911,69,46,26,1,62,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,45,1,92,69,17,29.34,39,0,0,0,0,0,0,1,0,3.7,4.1,3.5,12,13,0,1,0
3577,-87.785288,41.923738,0,1,0,0,0,8,2,0,0,0,416,1930,70,40,23,1,65,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.24,0.72,85,43,1,82,68,11,29.39,36,0,0,0,0,0,1,0,1,9.6,9.5,7.4,19,18,1,1,0.79
2984,-87.930995,41.957799,0,1,0,0,7,58,0,0,0,0,456,1858,65,36,10,1,59,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0.57,82,39,1,81,60,7,29.28,33,0,0,0,0,0,0,0,0,8.4,8.5,8.3,10,9,0,1,0
249,-87.629798,41.878114,0,1,0,0,0,3,1,0,0,0,426,1928,63,35,11,1,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,77,35,1,77,62,6,29.28,28,0,0,0,0,0,0,0,0,11.2,10.9,8.8,15,15,0,0,0
4125,-87.55551,41.733643,0,1,0,0,0,2,1,0,0,0,452,1903,69,37,1,1,56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,79,39,1,78,65,8,29.33,31,0,0,0,0,0,0,0,0,10.8,9.3,8.6,11,15,0,1,0
897,-87.729384,41.837085,0,1,0,0,1,1,0,0,0,0,509,1840,69,40,22,1,67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,81,40,1,80,69,11,29.16,38,0,1,0,1,1,1,0,1,7.3,7.1,5.8,19,14,1,1,0.24
65,-87.79518,41.921177,0,1,0,0,0,0,1,0,0,0,418,1931,73,46,28,1,69,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.26,0.8,91,47,1,92,70,17,29.45,41,0,1,0,1,0,0,1,0,8.1,7.1,6.1,19,18,0,1,0.16
1744,-87.60088,41.773215,0,1,0,0,0,1,0,0,0,0,418,1931,72,43,25,1,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,86,44,1,86,69,14,29.2,36,0,0,0,0,0,0,0,0,8,8.2,6.4,15,15,1,1,0
2915,-87.565666,41.704572,0,1,0,0,0,0,3,0,0,1,442,1915,74,44,23,1,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,86,45,1,86,71,15,29.34,41,0,1,0,0,0,1,0,0,5.6,5.9,4.3,14,12,1,1,0.7
2325,-87.724608,41.662014,0,0,1,0,3,3,0,0,0,0,533,1758,54,26,11,25,52,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.26,0.6,71,28,13,72,50,1,29.51,26,0,0,0,0,0,0,0,0,5.4,4.2,3.4,11,9,1,0,0
3968,-87.642984,41.803423,0,1,0,0,6,22,26,0,0,0,438,1918,58,34,13,1,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.58,81,35,1,81,57,5,29.39,29,0,0,0,0,0,0,0,0,3.9,5.1,4.1,9,13,0,1,0
1107,-87.700117,41.932094,0,0,1,0,1,0,0,0,0,0,528,1809,46,22,16,29,42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,66,21,30,67,46,1,29.46,19,0,0,0,0,0,0,0,0,6,5.6,1.8,19,13,1,1,0
276,-87.763416,41.801498,0,1,0,0,1,2,0,0,0,0,432,1924,69,42,21,1,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,85,42,1,85,69,13,29.18,40,0,1,0,1,1,1,0,1,10.6,10.1,9.1,14,15,0,1,1.55
4282,-87.777189,41.960616,0,1,0,0,0,11,0,0,0,0,514,1832,69,43,26,1,64,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.26,0.58,87,43,1,89,66,14,29.36,38,1,1,0,0,0,0,1,0,4.6,4.7,3.9,12,10,0,0,0
431,-87.729384,41.837085,0,1,0,0,3,4,0,0,0,0,445,1911,69,46,26,1,62,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,45,1,92,69,17,29.34,39,0,0,0,0,0,0,1,0,3.7,4.1,3.5,12,13,0,1,0
3836,-87.565666,41.704572,0,1,0,0,0,0,27,0,0,1,427,1928,60,36,10,1,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.58,82,36,1,83,58,7,29.44,31,0,0,0,0,0,0,0,0,5.4,4.8,4,16,19,0,1,0
3945,-87.703736,41.704336,0,1,0,0,0,4,1,0,0,0,438,1918,58,34,13,1,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.26,0.58,81,35,1,81,57,5,29.39,29,0,0,0,0,0,0,0,0,3.9,5.1,4.1,9,13,0,1,0
2296,-87.565666,41.704572,0,0,1,0,1,1,0,0,0,0,530,1805,59,36,25,1,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.26,0.6,84,37,1,84,58,7,29.4,31,0,0,0,0,0,0,0,0,2.7,2.1,0.1,12,10,1,0,0
4383,-87.668055,41.912563,0,0,1,0,1,9,0,0,0,0,522,1819,62,37,23,1,58,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,0.58,85,39,1,86,57,8,29.44,32,0,0,0,0,0,0,0,0,6,6,4.7,11,11,0,0,0
1848,-87.627796,41.821582,0,1,0,0,0,1,0,0,0,0,425,1929,67,38,18,1,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,84,41,1,82,63,9,29.41,37,0,1,0,0,0,0,0,1,4.6,4.9,4.4,18,16,1,1,0.08
4159,-87.703047,41.77166,0,1,0,0,31,40,0,0,0,0,459,1854,57,30,15,1,53,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,74,31,1,75,55,1,29.47,27,0,0,0,0,0,0,0,0,5,4.9,4.2,11,12,0,0,0
866,-87.832763,41.944869,0,1,0,0,9,17,0,0,0,0,509,1840,69,40,22,1,67,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.29,0.67,81,40,1,80,69,11,29.16,38,0,1,0,1,1,1,0,1,7.3,7.1,5.8,19,14,1,1,0.24
736,-87.585487,41.799282,0,1,0,0,3,3,2,0,0,0,459,1854,72,41,22,1,67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,81,42,1,80,71,12,29.23,40,0,1,0,1,1,1,0,1,7.1,5.8,3.4,15,12,0,1,0.23
3781,-87.777189,41.960616,0,1,0,0,0,5,2,0,0,0,427,1928,60,36,10,1,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.26,0.58,82,36,1,83,58,7,29.44,31,0,0,0,0,0,0,0,0,5.4,4.8,4,16,19,0,1,0
1904,-87.678649,41.768388,0,1,0,0,0,1,1,0,0,0,431,1925,58,29,2,2,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.26,0.6,70,29,2,70,57,1,29.21,26,0,0,0,0,0,0,0,0,10.4,10.8,10.6,15,16,1,1,0
3290,-87.546587,41.740641,0,0,1,0,0,2,6,0,0,0,528,1809,64,40,28,1,59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,86,40,1,86,64,11,29.24,34,0,0,0,0,0,0,0,0,9.3,10.9,10.5,12,12,0,1,0
1475,-87.716277,41.846075,1,0,0,0,0,2,0,0,0,0,421,1916,55,23,13,28,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.28,0.85,64,25,26,62,54,1,29.11,23,0,0,0,0,0,0,0,0,8.3,8.1,6.8,13.2126647963936,13.2124986025331,1,1,0
1449,-87.599862,41.673408,0,0,1,0,104,55,0,0,0,0,557,1720,50,28,26,13,44,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.27,0.77,77,29,2,76,49,1,29.27,22,0,0,0,0,0,0,0,0,13.3,12.8,11.5,8,7,0,0,0
2248,-87.862995,41.992478,0,0,1,0,0,7,0,0,0,0,530,1805,59,36,25,1,55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.26,0.6,84,37,1,84,58,7,29.4,31,0,0,0,0,0,0,0,0,2.7,2.1,0.1,12,10,1,0,0
3991,-87.805059,41.973845,0,1,0,0,1,0,2,0,0,0,445,1911,61,36,10,1,57,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.26,0.58,82,37,1,81,61,7,29.29,31,0,0,0,0,0,0,0,0,7.1,7.8,7.6,11,14,0,1,0
2149,-87.800991,41.95469,0,1,0,0,0,14,7,0,0,0,510,1839,61,36,19,1,61,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.26,0.6,82,37,1,83,59,7,29.39,34,0,0,0,0,0,0,0,0,8.6,9.2,9.1,12,11,0,0,0
2767,-87.666014,41.720848,0,1,0,0,0,48,28,1,0,0,429,1926,71,44,23,1,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.25,0.57,86,44,1,87,70,15,29.33,36,0,0,0,0,0,0,0,0,6.8,6.7,5.4,13,13,1,0,0
666,-87.745602,41.759346,0,1,0,0,5,19,0,0,0,0,459,1854,72,41,22,1,67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,81,42,1,80,71,12,29.23,40,0,1,0,1,1,1,0,1,7.1,5.8,3.4,15,12,0,1,0.23
3013,-87.678649,41.768388,0,1,0,0,0,1,0,0,0,0,456,1858,65,36,10,1,59,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.25,0.57,82,39,1,81,60,7,29.28,33,0,0,0,0,0,0,0,0,8.4,8.5,8.3,10,9,0,1,0
609,-87.632085,41.921965,0,1,0,0,0,1,0,0,0,0,451,1904,73,47,27,1,73,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,92,48,1,91,72,18,29.11,45,0,0,0,0,0,0,0,1,8.8,9,6.2,11,10,0,1,1.31
4230,-87.703736,41.704336,0,1,0,0,7,8,3,0,0,0,506,1843,67,38,20,1,67,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.26,0.58,78,38,1,78,68,9,29.42,37,0,0,0,0,0,0,0,1,7,7,1.5,12,11,0,0,0.23
936,-87.655356,41.775051,0,1,0,0,1,2,0,0,0,0,509,1840,69,40,22,1,67,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.29,0.67,81,40,1,80,69,11,29.16,38,0,1,0,1,1,1,0,1,7.3,7.1,5.8,19,14,1,1,0.24
336,-87.629798,41.878114,0,1,0,0,0,1,0,0,0,0,433,1923,63,38,1,1,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,82,38,1,83,63,9,29.26,35,0,1,0,0,0,0,0,0,14.4,11.9,7,13,14,0,1,0.16
1083,-87.763416,41.801498,0,0,1,0,7,4,0,0,0,0,528,1809,46,22,16,29,42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,66,21,30,67,46,1,29.46,19,0,0,0,0,0,0,0,0,6,5.6,1.8,19,13,1,1,0
3954,-87.678649,41.768388,0,1,0,0,0,7,10,0,0,0,438,1918,58,34,13,1,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.26,0.58,81,35,1,81,57,5,29.39,29,0,0,0,0,0,0,0,0,3.9,5.1,4.1,9,13,0,1,0
3708,-87.800515,41.916265,0,1,0,0,0,13,24,0,0,0,424,1929,71,43,23,1,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.26,0.58,87,44,1,86,70,14,29.31,41,0,1,0,1,0,0,0,1,10.5,8.4,7.8,18,21,1,1,0.5
2479,-87.703047,41.77166,0,1,0,0,0,4,4,0,0,0,416,1926,51,25,15,26,56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.23,0.76,71,26,25,69,51,1,29.26,27,0,1,0,0,1,1,1,1,7.5,8,6.4,14.3362535630461,14.4391074161794,1,1,0.52
2369,-87.805059,41.973845,0,0,1,0,4,39,3,0,0,0,542,1744,60,30,22,1,57,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.26,0.6,70,30,1,70,60,1,29.44,29,0,1,0,0,0,0,0,1,6.3,7.3,5.4,11,10,1,0,0.16
2090,-87.599862,41.673408,0,1,0,0,1,3,0,0,0,0,451,1904,67,34,12,1,59,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.6,74,36,1,74,64,5,29.41,32,0,1,0,0,0,0,0,1,7.2,7.8,7.3,14,11,1,0,0.33
1280,-87.752411,41.778297,0,0,1,0,4,5,0,0,0,0,541,1746,71,44,36,1,63,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,91,46,1,90,68,15,29.34,38,0,0,0,0,0,0,0,0,10.5,11.9,11.4,13,10,1,1,0
1700,-87.654224,41.867108,0,1,0,0,0,19,36,0,0,0,417,1931,70,44,27,1,67,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,89,45,1,89,68,15,29.15,40,0,0,0,1,0,1,0,1,7.2,5.6,4,15,16,1,1,0.09
1573,-87.700117,41.932094,0,1,0,0,0,3,4,0,0,0,417,1923,47,27,11,24,44,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,80,29,2,79,44,1,29.23,23,0,0,0,0,0,0,0,0,7.2,6.7,5.8,13.1155290375629,12.0216409366304,1,1,0
1173,-87.76007,41.961743,0,0,1,0,0,0,0,0,0,1,535,1756,66,41,30,1,58,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.29,0.67,89,43,1,88,63,12,29.41,34,0,0,0,0,0,0,0,0,12.8,13.1,12.9,18,12,1,1,0
2698,-87.66214,42.010412,0,1,0,0,0,2,0,0,0,0,426,1928,70,45,25,1,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,90,45,1,88,71,16,29.18,43,0,1,0,0,0,1,1,0,8,8.5,5.5,14,15,1,1,0.39
3357,-87.862995,41.992478,0,0,1,0,0,1,0,0,0,0,540,1748,48,20,14,3,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.25,0.57,62,20,3,62,48,1,29.38,20,0,0,0,0,0,0,0,0,6.4,7,5.9,13,13,0,1,0
1507,-87.777189,41.960616,0,1,0,0,0,5,10,0,0,0,419,1920,50,19,2,4,46,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.28,0.85,61,21,30,60,48,1,29.42,20,0,1,0,0,0,0,0,1,9.2,8,7.4,12.0883152079486,11.048196270827,1,1,0.12
2851,-87.599862,41.673408,0,1,0,0,1,35,16,0,0,0,438,1918,73,46,25,1,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,90,47,1,88,73,17,29.25,40,0,0,0,0,0,0,0,0,6.1,6.5,3.4,14,12,1,1,0
2109,-87.736812,41.798697,0,1,0,0,1,6,3,0,0,0,457,1856,63,38,18,1,55,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.26,0.6,86,40,1,86,60,9,29.44,32,0,0,0,0,0,0,0,0,4,3.8,1.5,14,11,1,0,0
3055,-87.757639,41.964242,0,1,0,0,0,17,2,0,0,0,503,1848,67,41,23,1,63,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.25,0.57,86,42,1,87,64,12,29.23,37,0,0,0,0,0,0,0,0,5.8,5.2,3.3,12,9,0,1,0
307,-87.666455,41.9216,0,1,0,0,4,12,0,0,0,0,432,1924,69,42,21,1,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,85,42,1,85,69,13,29.18,40,0,1,0,1,1,1,0,1,10.6,10.1,9.1,14,15,0,1,1.55
1183,-87.716277,41.846075,0,0,1,0,3,1,0,0,0,1,535,1756,66,41,30,1,58,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,89,43,1,88,63,12,29.41,34,0,0,0,0,0,0,0,0,12.8,13.1,12.9,18,12,1,1,0
497,-87.562889,41.766202,0,1,0,0,10,15,6,0,0,0,445,1911,69,46,26,1,62,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,45,1,92,69,17,29.34,39,0,0,0,0,0,0,1,0,3.7,4.1,3.5,12,13,0,1,0
996,-87.730698,41.948167,0,0,1,0,1,0,0,0,0,0,520,1822,67,41,26,1,60,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.29,0.67,90,44,1,89,63,12,29.34,36,0,0,0,0,0,0,0,0,5,4.3,2.8,17,12,1,1,0
1262,-87.812827,41.981964,0,0,1,0,29,3,0,0,0,0,541,1746,71,44,36,1,63,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.29,0.67,91,46,1,90,68,15,29.34,38,0,0,0,0,0,0,0,0,10.5,11.9,11.4,13,10,1,1,0
4268,-87.546587,41.740641,0,1,0,0,6,40,0,0,0,0,506,1843,67,38,20,1,67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,78,38,1,78,68,9,29.42,37,0,0,0,0,0,0,0,1,7,7,1.5,12,11,0,0,0.23
3219,-87.600963,41.728495,0,0,1,0,0,2,0,0,0,0,518,1826,79,49,34,1,69,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,94,52,1,92,76,20,29.24,43,0,0,0,0,0,0,1,0,6.6,7.4,4.9,12,11,0,1,0
269,-87.794896,41.94016,0,1,0,0,0,1,1,0,0,0,432,1924,69,42,21,1,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.29,0.67,85,42,1,85,69,13,29.18,40,0,1,0,1,1,1,0,1,10.6,10.1,9.1,14,15,0,1,1.55
1926,-87.562889,41.766202,0,1,0,0,0,1,0,0,0,0,431,1925,58,29,2,2,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,70,29,2,70,57,1,29.21,26,0,0,0,0,0,0,0,0,10.4,10.8,10.6,15,16,1,1,0
388,-87.666455,41.9216,0,1,0,0,0,5,1,0,0,0,440,1917,70,42,21,1,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,83,42,1,83,70,13,29.16,39,0,1,0,0,0,0,1,1,8.1,7.9,3,13,13,0,1,0.17
887,-87.757639,41.964242,0,1,0,0,19,12,1,0,0,0,509,1840,69,40,22,1,67,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.29,0.67,81,40,1,80,69,11,29.16,38,0,1,0,1,1,1,0,1,7.3,7.1,5.8,19,14,1,1,0.24
637,-87.832763,41.944869,0,1,0,0,25,39,0,0,0,0,459,1854,72,41,22,1,67,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.29,0.67,81,42,1,80,71,12,29.23,40,0,1,0,1,1,1,0,1,7.1,5.8,3.4,15,12,0,1,0.23
2769,-87.655232,41.896282,0,1,0,0,0,2,0,0,0,0,429,1926,71,44,23,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,86,44,1,87,70,15,29.33,36,0,0,0,0,0,0,0,0,6.8,6.7,5.4,13,13,1,0,0
3331,-87.668055,41.912563,0,0,1,0,0,3,2,0,0,0,532,1760,48,17,4,6,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,59,19,4,58,46,1,29.65,16,0,0,0,0,0,0,0,0,3.7,3.3,1.4,13,13,0,1,0
