"Date","ID","StnPressure","Tmax2","ResultSpeed2","ResultDir2","PrecipTotal","PT45_gt05","PrecipTotal2.imp","PT45_gt052","Sunrise","Sunset","RA2","RA45.2","RA","RA45"
2007-05-01,1,29.1,84,2.7,25,0,NA,0,NA,448,1849,0,NA,0,NA
2007-05-02,2,29.38,60,13.3,2,0,NA,0,NA,447,1850,0,NA,0,NA
2007-05-03,3,29.39,67,12.9,6,0,NA,0,NA,446,1851,0,NA,0,NA
2007-05-04,4,29.31,78,10.1,7,0,NA,0,NA,444,1852,0,NA,1,NA
2007-05-05,5,29.4,66,11.2,7,0,NA,0,NA,443,1853,0,NA,0,NA
2007-05-06,6,29.57,68,13.8,10,0,NA,0,NA,442,1855,0,NA,0,NA
2007-05-07,7,29.38,84,8.5,17,0,NA,0,NA,441,1856,0,NA,1,NA
2007-05-08,8,29.29,80,2.5,8,0,NA,0,NA,439,1857,0,NA,0,NA
2007-05-09,9,29.21,76,3.9,7,0.13,NA,0.02,NA,438,1858,0,NA,0,NA
2007-05-10,10,29.2,83,2,9,0,NA,0,NA,437,1859,0,NA,0,NA
2007-05-11,11,29.33,73,11.7,36,0,NA,0,NA,436,1860,0,NA,0,NA
2007-05-12,12,29.49,65,12.7,1,0,NA,0,NA,435,1901,0,NA,0,NA
2007-05-13,13,29.49,69,6.4,11,0,NA,0,NA,434,1902,0,NA,0,NA
2007-05-14,14,29.23,90,14.1,21,0,NA,0,NA,433,1903,0,NA,0,NA
2007-05-15,15,29.13,82,8.1,25,0.38,NA,0.6,NA,432,1904,1,NA,1,NA
2007-05-16,16,29.33,64,8,36,0.14,NA,0.07,NA,431,1905,1,NA,1,NA
2007-05-17,17,29.55,61,11.7,1,0,NA,0,NA,430,1906,0,NA,0,NA
2007-05-18,18,29.53,70,3.4,22,0,NA,0,NA,429,1907,0,NA,0,NA
2007-05-19,19,29.34,80,11.1,23,0,NA,0,NA,428,1908,0,NA,0,NA
2007-05-20,20,29.38,69,8.6,3,0.07,NA,0.11,NA,427,1909,1,NA,1,NA
2007-05-21,21,29.33,79,6.3,10,0,NA,0,NA,426,1910,0,NA,0,NA
2007-05-22,22,29.34,87,10.1,16,0,NA,0,NA,425,1911,0,NA,0,NA
2007-05-23,23,29.39,89,10.9,18,0,NA,0,NA,425,1912,0,NA,0,NA
2007-05-24,24,29.41,88,13.8,20,0.02,NA,0,NA,424,1913,1,NA,1,NA
2007-05-25,25,29.51,66,4.5,5,0,NA,0.09,NA,423,1914,1,NA,0,NA
2007-05-26,26,29.36,70,2.5,15,1.01,NA,0.28,NA,422,1915,1,NA,1,NA
2007-05-27,27,29.34,75,8.2,24,0.04,NA,0.08,NA,422,1916,1,NA,1,NA
2007-05-28,28,29.43,76,4.7,8,0,NA,0,NA,421,1916,0,NA,1,NA
2007-05-29,29,29.39,88,5.8,16,0,NA,0,NA,421,1917,0,NA,0,NA
2007-05-30,30,29.31,89,9.7,17,0,NA,0,NA,420,1918,0,NA,0,NA
2007-05-31,31,29.28,80,8.9,18,0.01,NA,0.53,NA,420,1919,1,NA,1,NA
2007-06-01,32,29.19,86,4.7,16,0.19,NA,0.21,NA,419,1920,0,NA,0,NA
2007-06-02,33,29.03,81,7.5,21,0.04,NA,0,NA,419,1920,1,NA,1,NA
2007-06-03,34,28.82,77,4.9,24,0.01,NA,0.32,NA,418,1921,1,NA,1,NA
2007-06-04,35,28.82,72,7.9,30,0.39,NA,0.31,NA,418,1922,1,NA,1,NA
2007-06-05,36,29.1,63,6.2,3,0.42,NA,0.27,NA,417,1923,1,NA,1,NA
2007-06-06,37,29.07,73,9.6,15,0.01,NA,0,NA,417,1923,1,NA,1,NA
2007-06-07,38,28.84,92,20.3,19,0,NA,0,NA,417,1924,0,NA,0,NA
2007-06-08,39,29.18,81,9.3,26,0,NA,0,NA,417,1925,0,NA,0,NA
2007-06-09,40,29.36,79,2.4,19,0,NA,0,NA,416,1925,0,NA,0,NA
2007-06-10,41,29.34,81,4.6,16,0,NA,0,NA,416,1926,0,NA,0,NA
2007-06-11,42,29.41,85,6.6,9,0,NA,0,NA,416,1926,0,NA,0,NA
2007-06-12,43,29.44,82,9.4,5,0,NA,0,NA,416,1927,0,NA,0,NA
2007-06-13,44,29.36,86,7,5,0,NA,0,NA,416,1927,0,NA,0,NA
2007-06-14,45,29.3,89,5.9,7,0,1,0,1,416,1928,0,13,0,15
2007-06-15,46,29.28,89,3.8,9,0,1,0,1,416,1928,0,13,0,15
2007-06-16,47,29.26,92,2.1,22,0,1,0,1,416,1929,0,13,1,16
2007-06-17,48,29.23,91,4,11,0,1,0.16,1,416,1929,0,13,0,16
2007-06-18,49,29.12,89,12.2,20,0.28,1,0.02,1,416,1929,1,14,1,16
2007-06-19,50,29.26,81,10.1,29,0.58,1,0.93,1,416,1930,1,15,1,17
2007-06-20,51,29.39,85,5.9,28,0,1,0,1,416,1930,0,15,0,17
2007-06-21,52,29.36,80,3.7,2,0.01,1,0,1,416,1930,1,16,1,17
2007-06-22,53,29.33,75,6.5,7,0,1,0,1,417,1931,1,17,1,18
2007-06-23,54,29.23,68,7.3,11,0.05,1,0.34,1,417,1931,1,18,1,19
2007-06-24,55,29.26,75,5.6,10,0,1,0,1,417,1931,0,18,0,19
2007-06-25,56,29.38,86,4,12,0,1,0,1,417,1931,0,18,0,19
2007-06-26,57,29.39,91,7.3,21,0.16,1,0,1,418,1931,0,18,0,19
2007-06-27,58,29.29,89,7.9,24,0.15,1,0.35,1,418,1931,1,19,0,19
2007-06-28,59,29.41,73,12.2,2,0,1,0.95046952118854,1,419,1931,0,19,0,19
2007-06-29,60,29.41,71,7.4,2,0,1,0.0640497532250698,1,419,1931,0,18,0,18
2007-06-30,61,29.41,77,5.1,4,0,1,0,1,419,1931,0,17,0,17
2007-07-01,62,29.51,76,9.5,4,0,1,0,1,420,1931,0,17,0,17
2007-07-02,63,29.49,77,7.4,12,0,1,0,1,420,1931,0,17,0,17
2007-07-03,64,29.31,83,6.4,21,0.4,1,0.09,1,421,1931,1,18,1,18
2007-07-04,65,29.18,84,3.1,25,0.16,1,0.66,1,422,1930,1,18,0,17
2007-07-05,66,29.24,88,4.3,33,0,1,0,1,422,1930,0,18,0,17
2007-07-06,67,29.32,84,3.3,7,0,1,0,1,423,1930,0,18,0,17
2007-07-07,68,29.18,88,7.4,23,0,1,0,1,423,1930,0,18,0,17
2007-07-08,69,29.05,93,12.6,23,0,1,0,1,424,1929,0,17,0,16
2007-07-09,70,29.11,93,4.8,23,0.3,1,0.24,1,425,1929,1,17,1,17
2007-07-10,71,29.06,89,8.2,23,0.43,1,0.08,1,425,1929,0,16,0,16
2007-07-11,72,29.23,77,9.1,30,0,1,0,1,426,1928,0,15,0,15
2007-07-12,73,29.22,80,10,28,0,1,0,1,427,1928,0,15,0,14
2007-07-13,74,29.26,74,2,7,0,1,0,1,428,1927,0,15,0,14
2007-07-14,75,29.08,85,8.4,25,0,1,0,1,428,1927,0,15,0,14
2007-07-15,76,29.19,80,1.2,9,0,1,0,1,429,1926,0,14,0,13
2007-07-16,77,29.25,82,5.6,23,0.39,1,0.07,1,430,1925,1,15,1,14
2007-07-17,78,29.18,83,6.3,23,0.11,1,0.11,1,431,1925,1,15,1,14
2007-07-18,79,29.11,85,10.3,24,1.55,1,0.92,1,432,1924,1,15,1,14
2007-07-19,80,29.21,82,7.7,36,0.16,1,0.01,1,433,1923,0,14,0,13
2007-07-20,81,29.44,74,11.3,4,0,1,0,1,433,1923,0,13,0,12
2007-07-21,82,29.51,75,5.8,4,0,1,0,1,434,1922,0,12,0,11
2007-07-22,83,29.49,81,1.9,18,0,1,0,1,435,1921,0,12,0,11
2007-07-23,84,29.37,82,2.9,12,0,1,0,1,436,1920,0,12,0,11
2007-07-24,85,29.32,82,1.1,21,0,1,0,1,437,1919,0,12,0,11
2007-07-25,86,29.29,83,6.4,23,0,1,0,1,438,1918,0,12,0,11
2007-07-26,87,29.19,84,7.2,22,0.19,1,0.89,1,439,1918,0,12,1,12
2007-07-27,88,29.11,83,1.2,36,0.17,1,0.04,1,440,1917,1,13,1,13
2007-07-28,89,29.23,80,10.6,3,0,1,0,1,441,1916,0,13,0,13
2007-07-29,90,29.28,85,6.3,5,0,1,0,1,442,1915,0,13,0,13
2007-07-30,91,29.33,86,3.1,6,0,1,0,1,443,1914,0,13,0,13
2007-07-31,92,29.33,89,4,7,0,1,0,1,444,1913,0,13,0,12
2007-08-01,93,29.29,91,2.1,13,0,1,0,1,445,1911,0,13,0,12
2007-08-02,94,29.26,91,6.5,23,0,1,0,1,446,1910,0,12,0,11
2007-08-03,95,29.31,88,3.3,6,0,1,0,1,447,1909,0,11,0,10
2007-08-04,96,29.31,81,5.9,9,0.03,1,0.02,1,448,1908,1,12,1,11
2007-08-05,97,29.08,88,7,22,1.43,1,0.97,1,449,1907,1,12,1,11
2007-08-06,98,29.13,85,2.6,10,0.26,1,0.05,1,450,1906,0,11,1,11
2007-08-07,99,29.06,92,6.3,24,1.31,1,0.06,1,451,1904,0,10,1,11
2007-08-08,100,29.13,87,1.5,4,0.06,1,0.09,1,452,1903,1,11,1,12
2007-08-09,101,29.13,85,3.1,27,0.05,1,0.46,1,453,1902,0,11,1,13
2007-08-10,102,29.26,86,3,6,0,1,0,1,454,1900,0,11,0,13
2007-08-11,103,29.31,88,3.1,20,0,1,0,1,455,1859,0,10,0,13
2007-08-12,104,29.34,87,1.9,6,0.29,1,0.23,1,456,1858,0,10,0,13
2007-08-13,105,29.39,80,6.9,8,0,1,0,1,457,1856,0,10,0,13
2007-08-14,106,29.23,84,6.4,23,0.41,1,0.45,1,458,1855,1,11,1,14
2007-08-15,107,29.17,81,4.9,6,0.23,1,0.83,1,459,1854,1,12,1,15
2007-08-16,108,29.28,77,3.5,1,0,1,0,1,500,1852,0,12,0,15
2007-08-17,109,29.41,80,6.1,31,0,1,0,1,501,1851,0,11,0,14
2007-08-18,110,29.44,69,6.1,13,0.09,1,0.42,1,502,1849,1,11,1,15
2007-08-19,111,29.24,69,5.5,10,1.33,1,1.33,1,503,1848,1,12,1,16
2007-08-20,112,29.15,76,2.4,20,0.91,1,0.48,1,504,1846,1,13,1,17
2007-08-21,113,29.21,85,3.5,17,0,1,0.01,1,505,1845,0,13,0,17
2007-08-22,114,29.23,90,5.1,21,0.37,1,0.88,1,506,1843,1,14,1,18
2007-08-23,115,29.15,89,6.7,21,2.35,1,1.96,1,508,1842,0,13,1,18
2007-08-24,116,29.11,81,5.5,25,0.24,1,0.2,1,509,1840,1,14,1,19
2007-08-25,117,29.23,76,2.4,3,0.34,1,0.25,1,510,1839,1,15,1,20
2007-08-26,118,29.38,78,3.7,11,0,1,0,1,511,1837,0,15,0,20
2007-08-27,119,29.36,79,6.4,16,0,1,0,1,512,1835,0,15,0,20
2007-08-28,120,29.28,90,7.8,21,0,1,0,1,513,1834,0,15,0,20
2007-08-29,121,29.34,86,5.3,3,0,1,0,1,514,1832,0,15,0,20
2007-08-30,122,29.47,75,10.8,3,0,1,0,1,515,1831,0,14,0,19
2007-08-31,123,29.47,76,3,6,0,1,0,1,516,1829,0,13,0,18
2007-09-01,124,29.49,79,4.4,11,0,1,0,1,517,1827,0,12,0,17
2007-09-02,125,29.41,84,4.8,21,0,1,0,1,518,1826,0,12,0,17
2007-09-03,126,29.36,88,3,25,0,1,0,1,519,1824,0,12,0,17
2007-09-04,127,29.28,90,2.2,24,0,1,0,1,520,1822,0,12,0,17
2007-09-05,128,29.24,91,6.4,19,0,1,0,1,521,1821,0,12,1,18
2007-09-06,129,29.21,84,12.8,20,0.18,1,0.08,1,522,1819,0,12,1,19
2007-09-07,130,29.15,84,9.5,23,0.19,1,0.67,1,523,1817,1,13,1,20
2007-09-08,131,29.3,78,8.4,5,0,1,0,1,524,1815,0,13,0,20
2007-09-09,132,29.36,79,10.1,3,0,1,0,1,525,1814,0,13,0,19
2007-09-10,133,29.3,73,7.4,3,0.36,1,0.25,1,526,1812,1,13,1,19
2007-09-11,134,29.2,71,12.1,29,0,1,0,1,527,1810,0,13,0,19
2007-09-12,135,29.4,66,1.9,5,0,1,0,1,528,1809,0,13,0,19
2007-09-13,136,29.23,79,7.1,20,0,1,0,1,529,1807,0,13,0,19
2007-09-14,137,29.36,67,11.7,32,0,1,0,1,530,1805,0,13,0,19
2007-09-15,138,29.56,62,1.1,35,0,1,0,1,531,1803,0,13,0,19
2007-09-16,139,29.46,72,7.7,18,0,1,0,1,532,1760,0,13,0,19
2007-09-17,140,29.39,80,10.6,17,0,1,0,1,533,1758,0,13,0,19
2007-09-18,141,29.34,89,12.5,19,0,1,0,1,535,1756,0,12,0,18
2007-09-19,142,29.41,84,3.5,25,0,1,0,1,536,1755,0,11,0,17
2007-09-20,143,29.39,76,5.6,8,0,1,0,1,537,1753,0,11,0,16
2007-09-21,144,29.18,90,9.8,22,0,1,0,1,538,1751,0,11,0,15
2007-09-22,145,29.42,72,4.3,1,0,1,0,1,539,1749,0,10,0,14
2007-09-23,146,29.43,83,5.9,12,0,1,0,1,540,1748,0,10,0,13
2007-09-24,147,29.27,91,10,19,0,1,0,1,541,1746,0,10,0,13
2007-09-25,148,29.23,83,7.3,23,0.27,1,0.01,1,542,1744,0,10,1,14
2007-09-26,149,29.31,68,4.8,2,0.09,1,0.14,1,543,1742,1,11,1,15
2007-09-27,150,29.26,74,4.5,25,0,1,0,1,544,1741,1,12,0,15
2007-09-28,151,29.47,73,3.1,7,0,1,0,1,545,1739,0,11,0,14
2007-09-29,152,29.5,82,8.4,17,0,1,0,1,546,1737,0,10,0,13
2007-09-30,153,29.36,84,12.9,19,0.14,1,0.14,1,547,1735,0,10,0,13
2007-10-01,154,29.28,68,7.9,21,0.29,1,0.17,1,548,1734,1,11,1,14
2007-10-02,155,29.18,80,10,19,0.09,1,0.11,1,549,1732,1,11,1,14
2007-10-03,156,29.28,74,4.8,25,0,1,0,1,550,1730,0,10,0,13
2007-10-04,157,29.34,83,4.6,17,0,1,0,1,552,1729,0,9,0,12
2007-10-05,158,29.36,85,6.8,18,0,1,0.06,1,553,1727,1,10,0,12
2007-10-06,159,29.33,88,6.4,21,0,1,0,1,554,1725,0,9,0,11
2007-10-07,160,29.31,88,5.3,19,0,0,0,1,555,1724,0,9,0,10
2007-10-08,161,29.23,88,7.3,24,0,0,0,1,556,1722,0,8,0,9
2007-10-09,162,29.21,77,12.1,28,0,0,0,1,557,1720,0,7,0,8
2007-10-10,163,29.21,53,14.4,31,0,0,0,1,558,1719,0,7,1,9
2007-10-11,164,29.28,56,14.6,36,0,0,0,1,559,1717,0,7,0,9
2007-10-12,165,29.28,57,2.8,36,0,0,0,1,600,1715,0,7,0,9
2007-10-13,166,29.31,59,3.6,21,0,0,0,1,602,1714,0,7,0,9
2007-10-14,167,29.34,63,5.7,12,0.15,0,0.01,1,603,1712,1,8,1,10
2007-10-15,168,29.21,77,6.6,16,0.07,0,0.04,1,604,1711,1,9,1,11
2007-10-16,169,29.16,68,6.5,21,0.24,0,0.19,1,605,1709,1,10,1,12
2007-10-17,170,29.07,74,8.6,14,0.04,0,0.11,1,606,1707,1,11,1,13
2007-10-18,171,28.59,79,15.5,19,0.3,0,0.34,1,607,1706,1,12,1,14
2007-10-19,172,28.75,61,17.7,24,0.01,0,0,1,608,1704,1,13,1,15
2007-10-20,173,29.02,74,11.1,21,0,0,0,1,610,1703,0,13,0,14
2007-10-21,174,29.08,79,16.7,20,0,0,0,1,611,1701,0,13,0,13
2007-10-22,175,29.26,66,5.8,1,0.16,0,0.15,0,612,1660,1,13,1,13
2007-10-23,176,29.2,53,4,31,0,0,0.03,0,613,1658,1,14,0,13
2007-10-24,177,29.46,53,16,2,0,0,0,0,614,1657,0,14,0,13
2007-10-25,178,29.47,57,14.5,6,0,0,0,0,616,1656,1,14,1,13
2007-10-26,179,29.31,66,4.2,6,0.33,0,0.41,0,617,1654,1,15,1,14
2007-10-27,180,29.56,57,7.9,31,0.01,0,0.08,0,618,1653,1,16,1,15
2007-10-28,181,29.79,56,3.5,23,0,0,0,0,619,1651,0,16,0,15
2007-10-29,182,29.63,60,9.1,22,0,0,0,0,620,1650,0,16,0,15
2007-10-30,183,29.43,66,10.8,20,0,0,0,0,622,1649,0,16,0,15
2007-10-31,184,29.3,63,12.2,25,0,0,0,0,623,1647,0,16,0,15
2008-05-01,185,28.95,73,9.8,17,0,0,0,0,448,1849,0,16,0,15
2008-05-02,186,28.79,74,11.9,19,1.28,1,0.74,1,447,1850,1,17,1,16
2008-05-03,187,29.01,56,11.2,25,0,1,0.01,1,446,1851,1,18,1,17
2008-05-04,188,29.31,66,5.1,23,0,1,0,1,444,1852,0,18,0,17
2008-05-05,189,29.27,74,3.7,23,0,1,0,1,443,1853,0,18,0,17
2008-05-06,190,29.16,82,6.9,22,0,1,0,1,442,1855,0,18,0,17
2008-05-07,191,28.97,71,1.9,22,0.76,1,0.71,1,441,1856,1,19,1,18
2008-05-08,192,29.08,59,14.3,5,0,1,0,1,439,1857,0,19,0,18
2008-05-09,193,29.15,58,6.5,3,0,1,0,1,438,1858,0,19,0,17
2008-05-10,194,29.08,61,6,8,0,1,0,1,437,1859,0,18,0,16
2008-05-11,195,28.85,60,14.3,2,0.95,1,1.46,1,436,1860,1,18,1,17
2008-05-12,196,29.26,53,4.9,6,0,1,0,1,435,1901,0,18,0,17
2008-05-13,197,29.2,73,13.7,18,0.08,1,0.32,1,434,1902,1,19,1,18
2008-05-14,198,29.19,61,2.5,21,0.02,1,0.02,1,433,1903,1,20,0,18
2008-05-15,199,29.33,57,7.5,5,0,1,0,1,432,1904,0,19,0,17
2008-05-16,200,29.1,72,8.3,25,0,1,0,1,431,1905,0,18,0,16
2008-05-17,201,28.87,73,11.2,29,0.12,1,0.26,1,430,1906,1,19,1,17
2008-05-18,202,28.93,55,1.6,35,0,1,0,1,429,1907,0,19,0,17
2008-05-19,203,28.96,59,4.4,7,0,1,0,1,428,1908,1,19,1,18
2008-05-20,204,28.94,64,6.9,30,0,1,0,1,427,1909,0,19,0,18
2008-05-21,205,29,65,6.8,33,0,1,0,1,426,1910,0,19,0,18
2008-05-22,206,29.24,56,10.5,5,0,1,0,1,425,1911,0,19,0,18
2008-05-23,207,29.41,59,10.4,3,0,1,0,1,425,1912,0,19,0,18
2008-05-24,208,29.44,68,6.9,7,0,1,0,1,424,1913,0,19,0,17
2008-05-25,209,29.18,78,11.1,17,0,1,0,1,423,1914,0,19,0,17
2008-05-26,210,29.11,84,7.3,24,0.48,1,0,1,422,1915,1,20,1,18
2008-05-27,211,29.5,53,18,2,0,1,0,1,422,1916,1,21,0,18
2008-05-28,212,29.6,61,7.8,7,0,1,0,1,421,1916,0,20,0,17
2008-05-29,213,29.39,68,2.2,10,0.01,1,0.08,1,421,1917,1,20,1,17
2008-05-30,214,29.03,77,9.4,20,0.4,1,0.3,1,420,1918,1,20,1,17
2008-05-31,215,29.1,79,11.1,28,0,1,0,1,420,1919,0,19,0,16
2008-06-01,216,29.23,71,5.6,8,0,1,0,1,419,1920,0,18,0,15
2008-06-02,217,29.16,85,1.7,13,0,1,0,1,419,1920,0,17,1,15
2008-06-03,218,28.97,74,5.2,3,0.52,1,0.92,1,418,1921,1,18,1,16
2008-06-04,219,28.9,78,3.1,5,0,1,0.02,1,418,1922,0,18,0,16
2008-06-05,220,29,88,13.2,20,0.64,1,0.22,1,417,1923,0,17,0,15
2008-06-06,221,29.07,86,19.2,20,0,1,0.03,1,417,1923,1,17,1,16
2008-06-07,222,29.16,84,11.8,19,0.11,1,0.07,1,417,1924,0,17,1,17
2008-06-08,223,29.11,87,4.2,19,1.24,1,1.31,1,417,1925,1,17,1,17
2008-06-09,224,29.1,74,6.5,23,0.14,1,0.21,1,416,1925,1,17,1,17
2008-06-10,225,29.18,80,9.3,25,0,1,0.01,1,416,1926,1,17,1,17
2008-06-11,226,29.28,86,9.4,18,0,1,0,1,416,1926,0,17,0,17
2008-06-12,227,29.2,91,14.8,18,0,1,0,1,416,1927,0,17,0,17
2008-06-13,228,29.21,82,9.6,23,0.39,1,0.19,1,416,1927,1,18,1,18
2008-06-14,229,29.23,84,8.7,24,0,1,0,1,416,1928,0,18,0,18
2008-06-15,230,29.15,82,8.4,24,0.18,1,0.29,1,416,1928,1,19,1,19
2008-06-16,231,29.2,74,10.8,31,0,1,0,1,416,1929,0,18,0,18
2008-06-17,232,29.26,76,10.2,30,0,1,0,1,416,1929,0,17,0,17
2008-06-18,233,29.21,75,5,5,0,1,0,1,416,1929,0,17,0,17
2008-06-19,234,29.21,80,1.5,14,0,1,0,1,416,1930,0,17,0,17
2008-06-20,235,29.25,83,6.5,23,0.09,1,0.04,1,416,1930,1,18,1,18
2008-06-21,236,29.24,83,5.6,29,0.01,1,0.01,1,416,1930,1,18,0,17
2008-06-22,237,29.18,81,1.5,34,0.16,1,0.02,1,417,1931,1,19,0,17
2008-06-23,238,29.33,76,3.8,3,0,1,0,1,417,1931,0,19,0,17
2008-06-24,239,29.44,82,4.3,18,0,1,0,1,417,1931,0,19,0,17
2008-06-25,240,29.28,79,7.5,21,0.08,1,0.11,1,417,1931,1,19,1,17
2008-06-26,241,29.15,87,6.8,25,0,1,0,1,418,1931,0,19,0,17
2008-06-27,242,29.05,85,8.3,21,0,1,0,1,418,1931,1,19,1,17
2008-06-28,243,28.98,84,13.3,26,0.04,1,0,1,419,1931,1,19,0,17
2008-06-29,244,29.08,77,7.9,30,0.58,1,0.22,1,419,1931,1,20,1,18
2008-06-30,245,29.28,81,5.5,35,0,1,0,1,419,1931,0,20,0,18
2008-07-01,246,29.24,84,8.2,23,0,1,0,1,420,1931,0,19,0,17
2008-07-02,247,29.09,89,7.4,24,0.2,1,0.12,1,420,1931,1,20,1,18
2008-07-03,248,29.34,71,13.3,3,0,1,0,1,421,1931,0,19,0,17
2008-07-04,249,29.35,75,6.5,6,0,1,0,1,422,1930,0,19,0,17
2008-07-05,250,29.31,79,4.7,10,0,1,0,1,422,1930,0,19,0,17
2008-07-06,251,29.21,88,8.3,19,0,1,0,1,423,1930,0,19,0,17
2008-07-07,252,29.16,87,10.8,21,0.03,1,0.11,1,423,1930,0,19,1,18
2008-07-08,253,29.1,86,7.4,24,0.03,1,0.28,1,424,1929,1,20,0,18
2008-07-09,254,29.26,85,8.1,32,0,1,0,1,425,1929,0,20,0,18
2008-07-10,255,29.26,84,8.1,23,0.72,1,0.43,1,425,1929,1,20,1,18
2008-07-11,256,29.23,89,3.7,19,0.34,1,0.03,1,426,1928,1,20,1,19
2008-07-12,257,29.19,83,8.4,26,0.73,1,0.65,1,427,1928,1,21,1,20
2008-07-13,258,29.12,79,13.6,27,0,1,0,1,428,1927,0,20,0,19
2008-07-14,259,29.22,84,1.9,29,0,1,0,1,428,1927,0,19,0,18
2008-07-15,260,29.3,91,7.8,22,0,1,0,1,429,1926,0,19,0,18
2008-07-16,261,29.39,91,5.2,21,0,1,0,1,430,1925,0,19,0,18
2008-07-17,262,29.33,90,8.9,22,0,1,0,1,431,1925,0,19,0,17
2008-07-18,263,29.24,91,6.8,23,0.04,1,0,1,432,1924,1,19,1,17
2008-07-19,264,29.19,80,1.1,23,1.61,1,1.22,1,433,1923,1,20,1,18
2008-07-20,265,29.2,86,6.1,27,0.74,1,0.43,1,433,1923,1,21,0,18
2008-07-21,266,29.21,84,2.4,2,0.13,1,0.13,1,434,1922,1,21,1,18
2008-07-22,267,29.31,75,8.6,3,0,1,0.06,1,435,1921,1,22,0,17
2008-07-23,268,29.39,81,8.3,36,0,1,0,1,436,1920,0,21,0,16
2008-07-24,269,29.33,82,4.3,24,0,1,0,1,437,1919,0,20,0,15
2008-07-25,270,29.26,84,6.8,22,0,1,0,1,438,1918,0,19,0,14
2008-07-26,271,29.22,85,6.9,30,0,1,0,1,439,1918,0,19,0,14
2008-07-27,272,29.16,83,5.9,24,0,1,0,1,440,1917,0,19,0,14
2008-07-28,273,29.16,84,4.4,10,0,1,0,1,441,1916,0,18,0,13
2008-07-29,274,29.14,89,5.9,20,0.05,1,0.23,1,442,1915,1,19,1,14
2008-07-30,275,29.04,90,8.8,27,0,1,0,1,443,1914,0,18,0,13
2008-07-31,276,29.06,89,5.6,27,0.14,1,0.5,1,444,1913,1,19,1,14
2008-08-01,277,29.09,89,1.9,6,1.05,1,0,1,445,1911,0,19,1,15
2008-08-02,278,29.24,80,8.6,3,0,1,0,1,446,1910,0,19,0,15
2008-08-03,279,29.24,85,5.2,19,0,1,0,1,447,1909,0,19,0,15
2008-08-04,280,29.18,88,2.9,19,2.43,1,0.59,1,448,1908,1,19,1,15
2008-08-05,281,29.24,88,2.9,31,0,1,0.08,1,449,1907,0,18,0,15
2008-08-06,282,29.29,84,5.4,29,0,1,0.01,1,450,1906,0,17,0,15
2008-08-07,283,29.26,81,7.1,35,0,1,0.01,1,451,1904,0,17,0,15
2008-08-08,284,29.29,78,3.5,1,0,1,0,1,452,1903,0,17,0,15
2008-08-09,285,29.2,78,3.8,28,0,1,0,1,453,1902,1,17,0,14
2008-08-10,286,29.31,74,10.2,2,0,1,0,1,454,1900,0,17,0,14
2008-08-11,287,29.3,76,3.5,5,0,1,0,1,455,1859,0,16,0,13
2008-08-12,288,29.17,77,3.3,10,0,1,0,1,456,1858,0,15,0,13
2008-08-13,289,29.11,77,3.1,8,0.06,1,0,1,457,1856,0,14,1,13
2008-08-14,290,29.23,78,7.7,3,0,1,0,1,458,1855,0,14,0,13
2008-08-15,291,29.44,78,7.5,4,0,1,0,1,459,1854,0,14,0,13
2008-08-16,292,29.4,82,5.5,29,0,1,0,1,500,1852,0,13,0,12
