"Date","ID","StnPressure","Tmax2","ResultSpeed2","ResultDir2","PrecipTotal","PT45_gt05","PrecipTotal2.imp","PT45_gt052","Sunrise","Sunset","RA2","RA45.2","RA","RA45"
2008-08-17,293,29.28,85,8.5,25,0,1,0,1,501,1851,0,13,0,12
2008-08-18,294,29.26,85,6.6,26,0,1,0,1,502,1849,0,13,0,12
2008-08-19,295,29.38,84,4.9,5,0,1,0,1,503,1848,0,13,0,12
2008-08-20,296,29.4,81,7.3,10,0,1,0,1,504,1846,0,13,0,12
2008-08-21,297,29.31,82,6.5,14,0,1,0,1,505,1845,1,14,1,12
2008-08-22,298,29.32,84,11.1,19,0.09,1,0,1,506,1843,1,14,0,12
2008-08-23,299,29.31,90,8.3,24,0,1,0,1,508,1842,0,14,0,12
2008-08-24,300,29.34,78,8.7,3,0,1,0,1,509,1840,0,13,0,11
2008-08-25,301,29.36,74,12.7,5,0,1,0,1,510,1839,0,12,0,10
2008-08-26,302,29.29,75,7.9,7,0,1,0,1,511,1837,0,11,0,9
2008-08-27,303,29.2,82,4.2,9,0,1,0,1,512,1835,0,11,0,9
2008-08-28,304,29.1,81,5.7,19,0.06,1,0.02,1,513,1834,1,12,1,10
2008-08-29,305,29.24,84,3.6,2,0.04,1,0,1,514,1832,0,12,1,11
2008-08-30,306,29.39,87,2,23,0,1,0,1,515,1831,0,12,0,11
2008-08-31,307,29.41,89,4.8,12,0,1,0,1,516,1829,0,12,0,11
2008-09-01,308,29.37,89,7.7,12,0,1,0,1,517,1827,0,11,0,10
2008-09-02,309,29.31,95,2.8,17,0,1,0,1,518,1826,1,11,0,9
2008-09-03,310,29.31,77,11.2,1,0.02,1,0,1,519,1824,0,10,0,9
2008-09-04,311,29.08,68,11.2,3,2.9,1,2.68,1,520,1822,1,10,1,9
2008-09-05,312,29.22,68,4.3,32,0,1,0.01,1,521,1821,1,10,0,9
2008-09-06,313,29.28,74,5.1,28,0.01,1,0,1,522,1819,1,11,0,9
2008-09-07,314,29.35,74,7,26,0,1,0.01,1,523,1817,0,11,0,9
2008-09-08,315,29.41,70,4.9,33,1.23,1,1.01,1,524,1815,1,12,1,10
2008-09-09,316,29.45,68,3.1,36,0,1,0.01,1,525,1814,0,12,0,10
2008-09-10,317,29.47,72,4,14,0,1,0,1,526,1812,0,12,0,10
2008-09-11,318,29.33,79,8.6,18,0,1,0,1,527,1810,0,12,1,11
2008-09-12,319,29.22,73,6.6,23,0.37,1,0.62,1,528,1809,1,12,1,11
2008-09-13,320,28.97,77,7.2,22,6.64,1,3.07,1,529,1807,1,13,1,12
2008-09-14,321,28.97,72,7.2,32,1.44,1,1.75,1,530,1805,1,13,1,12
2008-09-15,322,29.41,65,5.9,33,0,1,0.01,1,531,1803,0,13,0,11
2008-09-16,323,29.47,71,5.3,24,0,1,0,1,532,1760,0,13,0,11
2008-09-17,324,29.46,83,2.2,28,0,1,0,1,533,1758,0,13,0,11
2008-09-18,325,29.56,74,7.2,9,0,1,0,1,535,1756,0,12,0,10
2008-09-19,326,29.47,79,6.1,18,0,1,0,1,536,1755,0,12,0,10
2008-09-20,327,29.46,82,2.3,12,0,1,0,1,537,1753,0,12,0,10
2008-09-21,328,29.55,80,3,9,0,1,0,1,538,1751,0,12,0,10
2008-09-22,329,29.59,82,6.7,12,0,1,0,1,539,1749,0,12,0,10
2008-09-23,330,29.56,83,6.6,15,0,1,0,1,540,1748,0,11,0,10
2008-09-24,331,29.54,82,2.7,21,0.2,1,0,1,541,1746,0,11,0,10
2008-09-25,332,29.54,78,5.4,4,0,1,0,1,542,1744,0,11,0,10
2008-09-26,333,29.42,78,3.5,6,0,1,0,1,543,1742,0,11,0,10
2008-09-27,334,29.33,80,1.6,7,0,1,0,1,544,1741,0,11,0,9
2008-09-28,335,29.41,69,7.3,4,0,1,0,1,545,1739,0,11,0,9
2008-09-29,336,29.26,65,1.6,33,0.82,1,0.11,1,546,1737,1,12,1,10
2008-09-30,337,29.21,61,9.3,31,0,1,0.01,1,547,1735,0,12,0,10
2008-10-01,338,29.24,62,10.9,33,0,1,0,1,548,1734,0,12,0,10
2008-10-02,339,29.18,62,9.5,28,0,1,0,1,549,1732,0,12,0,10
2008-10-03,340,29.34,59,6,6,0.01,1,0.01,1,550,1730,1,13,1,11
2008-10-04,341,29.51,60,3.1,11,0,1,0,1,552,1729,0,13,0,11
2008-10-05,342,29.51,61,6.5,11,0.06,1,0.03,1,553,1727,1,13,1,11
2008-10-06,343,29.49,70,8.9,12,0,1,0,1,554,1725,0,12,0,11
2008-10-07,344,29.24,65,9.5,14,0.8,1,0.86,1,555,1724,1,13,1,12
2008-10-08,345,29.13,63,7.4,26,0.19,1,0.29,1,556,1722,1,14,1,13
2008-10-09,346,29.36,69,3.9,29,0,1,0,1,557,1720,0,14,0,13
2008-10-10,347,29.47,73,5.3,11,0,1,0,1,558,1719,0,14,0,13
2008-10-11,348,29.52,80,3.9,14,0,1,0,1,559,1717,0,14,0,13
2008-10-12,349,29.55,86,5.8,16,0,1,0,1,600,1715,0,13,0,12
2008-10-13,350,29.47,79,8.3,20,0,1,0,1,602,1714,0,13,0,11
2008-10-14,351,29.49,70,1.5,34,0,1,0,1,603,1712,0,13,1,12
2008-10-15,352,29.34,64,3.6,32,0.3,1,0.24,1,604,1711,1,14,1,13
2008-10-16,353,29.52,59,6.7,35,0,1,0,1,605,1709,0,14,0,13
2008-10-17,354,29.53,56,5.8,36,0,1,0,1,606,1707,0,13,0,13
2008-10-18,355,29.58,60,2.4,7,0.05,1,0.14,1,607,1706,1,14,1,14
2008-10-19,356,29.49,62,10.6,19,0,1,0,1,608,1704,0,13,0,13
2008-10-20,357,29.48,56,3.2,31,0.18,1,0.31,1,610,1703,1,13,1,14
2008-10-21,358,29.64,55,6.7,3,0,1,0,1,611,1701,0,12,0,14
2008-10-22,359,29.65,54,12,12,0,1,0,1,612,1660,0,12,0,14
2008-10-23,360,29.5,60,10.6,12,0.16,1,0.09,1,613,1658,1,12,1,14
2008-10-24,361,29.18,56,5.6,20,0.32,1,0.63,1,614,1657,1,13,1,15
2008-10-25,362,29.02,53,12.8,23,0,1,0,1,616,1656,0,13,1,16
2008-10-26,363,29.1,56,17.5,27,0,1,0.01,1,617,1654,1,14,1,16
2008-10-27,364,29.51,47,13.4,31,0,1,0,1,618,1653,1,14,0,15
2008-10-28,365,29.54,45,9.9,30,0,1,0,1,619,1651,0,13,0,14
2008-10-29,366,29.47,51,1.7,29,0,1,0,1,620,1650,0,12,0,13
2008-10-30,367,29.57,63,9.3,19,0,1,0,1,622,1649,0,12,0,13
2008-10-31,368,29.57,71,6,22,0,1,0,1,623,1647,0,12,0,13
2009-05-01,369,29.26,62,8.1,29,0.02,1,0.04,1,448,1849,1,13,1,14
2009-05-02,370,29.21,65,9.2,27,0,1,0,1,447,1850,0,13,0,14
2009-05-03,371,29.19,70,4.7,26,0,1,0,1,446,1851,0,13,0,14
2009-05-04,372,29.31,70,7.1,9,0,1,0,1,444,1852,0,13,0,14
2009-05-05,373,29.22,70,5.1,12,0,1,0,1,443,1853,0,13,0,14
2009-05-06,374,29.05,75,6.2,19,0.67,1,0.86,1,442,1855,1,14,1,15
2009-05-07,375,29.01,77,8.2,24,0.19,1,0.03,1,441,1856,1,15,1,16
2009-05-08,376,28.94,74,4.4,20,0.02,1,0.01,1,439,1857,0,15,1,17
2009-05-09,377,29.19,64,4.7,28,0,1,0,1,438,1858,0,15,0,17
2009-05-10,378,29.41,67,5.1,30,0,1,0.02,1,437,1859,1,16,0,17
2009-05-11,379,29.47,61,2.1,7,0,1,0,1,436,1860,0,16,0,17
2009-05-12,380,29.38,72,8.9,16,0,1,0,1,435,1901,0,16,0,17
2009-05-13,381,29.01,71,12.9,18,0.55,1,1.03,1,434,1902,1,16,1,17
2009-05-14,382,29.31,69,11.1,27,0,1,0,1,433,1903,0,16,0,17
2009-05-15,383,29.28,63,4.4,15,0.39,1,0.7,1,432,1904,1,17,1,18
2009-05-16,384,29.36,62,11,30,0,1,0.04,1,431,1905,0,17,0,18
2009-05-17,385,29.6,59,3.3,9,0,1,0,1,430,1906,0,16,0,17
2009-05-18,386,29.54,67,9.3,19,0,1,0,1,429,1907,0,16,0,17
2009-05-19,387,29.48,80,12.3,21,0,1,0,1,428,1908,0,15,0,16
2009-05-20,388,29.4,85,11.9,20,0,1,0,1,427,1909,0,15,0,16
2009-05-21,389,29.38,85,8.1,25,0,1,0,1,426,1910,0,14,0,15
2009-05-22,390,29.46,70,10,3,0,1,0,1,425,1911,0,13,0,14
2009-05-23,391,29.33,79,4.5,8,0,1,0,1,425,1912,0,13,0,14
2009-05-24,392,29.34,70,10.7,3,0,1,0,1,424,1913,0,13,0,14
2009-05-25,393,29.28,64,8.7,6,0.04,1,0.08,1,423,1914,1,14,1,15
2009-05-26,394,29.08,76,5.7,6,1.73,1,1.38,1,422,1915,1,15,1,16
2009-05-27,395,28.95,75,6.8,24,0.02,1,0,1,422,1916,0,15,0,16
2009-05-28,396,29.06,64,6.8,29,0,1,0,1,421,1916,0,15,0,15
2009-05-29,397,29.17,77,2,31,0,1,0,1,421,1917,0,14,0,14
2009-05-30,398,29.09,79,1.8,29,0,1,0,1,420,1918,0,14,1,15
2009-05-31,399,29.21,72,2.9,9,0,1,0,1,420,1919,0,14,0,15
2009-06-01,400,29.19,80,1,34,0.44,1,0.83,1,419,1920,1,14,1,15
2009-06-02,401,29.36,61,8.3,3,0.12,1,0.06,1,419,1920,1,15,1,16
2009-06-03,402,29.42,61,11,2,0,1,0,1,418,1921,0,14,0,15
2009-06-04,403,29.31,68,5.2,5,0,1,0,1,418,1922,0,14,0,15
2009-06-05,404,29.18,80,6.3,25,0,1,0,1,417,1923,0,14,0,15
2009-06-06,405,29.2,66,4.7,3,0.02,1,0,1,417,1923,1,14,0,14
2009-06-07,406,29.14,74,1.5,11,0.04,1,0,1,417,1924,1,14,0,13
2009-06-08,407,29.06,82,6.4,25,0.45,1,0.3,1,417,1925,1,15,1,13
2009-06-09,408,29.23,67,6.4,8,0,1,0,1,416,1925,0,14,0,12
2009-06-10,409,29.15,67,8.5,4,0.01,1,0.04,1,416,1926,1,14,1,13
2009-06-11,410,29.11,60,8.8,1,0.01,1,1.14,1,416,1926,1,15,1,14
2009-06-12,411,29.24,72,5,6,0,1,0,1,416,1927,0,15,1,15
2009-06-13,412,29.28,66,7.2,4,0.33,1,0.31,1,416,1927,1,16,1,16
2009-06-14,413,29.29,76,5.1,5,0,1,0,1,416,1928,0,16,0,16
2009-06-15,414,29.28,81,7.4,9,0,1,0,1,416,1928,0,15,0,15
2009-06-16,415,29.15,71,10.3,11,1.23,1,1.07,1,416,1929,1,16,1,16
2009-06-17,416,29.16,73,2.6,34,0,1,0,1,416,1929,0,16,0,16
2009-06-18,417,29.08,81,3.7,17,0.12,1,0.11,1,416,1929,0,16,1,17
2009-06-19,418,28.97,88,6.3,18,3.97,1,0.87,1,416,1930,1,17,0,17
2009-06-20,419,29.08,88,8.3,28,0,1,0,1,416,1930,0,16,0,16
2009-06-21,420,29.12,86,3.3,9,0.01,1,0,1,416,1930,1,16,0,15
2009-06-22,421,29.09,89,5.3,12,0.09,1,0.06,1,417,1931,0,16,1,15
2009-06-23,422,29.16,92,2.8,13,0,1,0,1,417,1931,0,16,0,15
2009-06-24,423,29.16,93,2.1,23,0.04,1,0.78,1,417,1931,0,15,0,15
2009-06-25,424,29.08,93,1.8,26,0,1,0,1,417,1931,0,15,0,15
2009-06-26,425,NA,86,6.4,4,0,1,0,1,418,1931,0,15,0,15
2009-06-27,426,29.1,90,6,22,0.3,1,0.05,1,418,1931,1,15,1,15
2009-06-28,427,29,83,14.1,29,0,1,0,1,419,1931,0,15,0,15
2009-06-29,428,28.89,78,13.4,30,0,1,0,1,419,1931,0,14,0,14
2009-06-30,429,28.95,68,8.1,30,0,1,0,1,419,1931,0,14,0,14
2009-07-01,430,29.07,65,6.6,31,0,1,0.02,1,420,1931,1,15,1,15
2009-07-02,431,29.26,73,5.7,31,0,1,0,1,420,1931,0,15,0,15
2009-07-03,432,29.36,79,1.8,2,0,1,0,1,421,1931,0,15,0,15
2009-07-04,433,29.26,69,3.4,14,0.2,1,0.12,1,422,1930,1,16,1,16
2009-07-05,434,29.2,82,0.3,36,0.05,1,0.03,1,422,1930,0,16,1,17
2009-07-06,435,29.14,85,4.2,30,0,1,0,1,423,1930,0,16,0,17
2009-07-07,436,29.18,76,5.9,7,0,1,0,1,423,1930,0,16,1,18
2009-07-08,437,29.28,68,7,8,0.06,1,0.17,1,424,1929,1,17,1,19
2009-07-09,438,29.35,80,6.5,10,0,1,0,1,425,1929,0,16,0,18
2009-07-10,439,29.34,84,3.6,21,0.08,1,0.12,1,425,1929,1,16,1,18
2009-07-11,440,29.34,85,5.9,29,0.25,1,1.12,1,426,1928,0,16,0,18
2009-07-12,441,29.35,82,1.9,33,0,1,0,1,427,1928,0,16,0,18
2009-07-13,442,29.36,78,5.8,7,0,1,0,1,428,1927,0,16,0,18
2009-07-14,443,29.34,81,7.5,16,0,1,0,1,428,1927,0,16,0,17
2009-07-15,444,29.18,86,10,25,0.68,1,0.32,1,429,1926,1,17,0,17
2009-07-16,445,29.17,82,9.6,28,0,1,0.17,1,430,1925,0,16,0,16
2009-07-17,446,29.15,70,10.1,29,0,1,0,1,431,1925,1,16,0,15
2009-07-18,447,29.31,73,6.6,32,0,1,0,1,432,1924,0,16,0,15
2009-07-19,448,29.39,73,1.4,4,0,1,0,1,433,1923,0,16,0,15
2009-07-20,449,29.36,76,6.2,10,0,1,0,1,433,1923,0,16,0,15
2009-07-21,450,29.28,82,4.9,14,0.04,1,0,1,434,1922,0,15,1,16
2009-07-22,451,29.23,79,2.8,11,0,1,0,1,435,1921,0,14,0,16
2009-07-23,452,29.21,79,1.7,1,0,1,0.1,1,436,1920,0,13,0,15
2009-07-24,453,29.08,83,8.7,23,0.14,1,0.19,1,437,1919,1,14,1,16
2009-07-25,454,29.02,81,10.8,27,0,1,0,1,438,1918,0,13,0,15
2009-07-26,455,29.13,82,9.1,29,0,1,0,1,439,1918,0,12,1,15
2009-07-27,456,29.13,84,9.2,23,0.02,1,0.03,1,440,1917,1,13,1,15
2009-07-28,457,29.08,86,6.5,28,0.01,1,0.01,1,441,1916,0,12,1,15
2009-07-29,458,29.13,79,3.8,3,0,1,0,1,442,1915,0,12,0,15
2009-07-30,459,29.15,80,4.9,24,0,1,0,1,443,1914,0,12,0,15
2009-07-31,460,29.23,82,5.9,27,0,1,0,1,444,1913,0,11,0,14
2009-08-01,461,29.18,75,10.6,23,0,1,0.01,1,445,1911,0,11,1,15
2009-08-02,462,29.2,79,6.2,26,0,1,0,1,446,1910,0,11,0,14
2009-08-03,463,29.1,86,11,21,0.07,1,0.06,1,447,1909,1,11,0,14
2009-08-04,464,29.17,86,1.8,5,0,1,0,1,448,1908,0,11,0,14
2009-08-05,465,29.34,79,3.8,6,0,1,0,1,449,1907,0,10,0,14
2009-08-06,466,29.39,81,3.4,9,0,1,0,1,450,1906,0,10,0,13
2009-08-07,467,29.36,74,6.4,15,0.33,1,0.23,1,451,1904,1,11,1,14
2009-08-08,468,29.2,89,12.2,21,0.02,1,0.08,1,452,1903,1,12,1,15
2009-08-09,469,29.23,92,11.1,23,0.18,1,0.02,1,453,1902,0,12,0,15
2009-08-10,470,29.24,86,8.3,26,0,1,0,1,454,1900,0,12,0,15
2009-08-11,471,29.3,81,6.1,2,0,1,0,1,455,1859,0,11,0,14
2009-08-12,472,29.39,82,5.5,5,0,1,0,1,456,1858,0,11,0,14
2009-08-13,473,29.38,86,2,16,0,1,0,1,457,1856,0,11,0,14
2009-08-14,474,29.38,88,6.3,21,0,1,0,1,458,1855,0,11,0,14
2009-08-15,475,29.32,89,8.3,19,0,1,0,1,459,1854,0,10,0,13
2009-08-16,476,29.27,90,9.3,21,0.63,1,0.27,1,500,1852,1,11,0,13
2009-08-17,477,29.28,83,5.1,22,0.33,1,0.59,1,501,1851,1,12,1,14
2009-08-18,478,29.28,84,8,27,0,1,0,1,502,1849,0,11,0,13
2009-08-19,479,29.08,81,5.9,16,0.35,1,0.61,1,503,1848,0,11,1,13
2009-08-20,480,28.93,79,12.2,23,0.07,1,0.12,1,504,1846,1,12,1,14
2009-08-21,481,29.07,74,10.1,27,0.16,1,0.05,1,505,1845,1,13,1,14
2009-08-22,482,29.31,69,9.4,36,0,1,0,1,506,1843,0,12,0,13
2009-08-23,483,29.38,73,3.5,5,0,1,0,1,508,1842,0,12,0,13
2009-08-24,484,29.41,79,5,21,0,1,0,1,509,1840,0,11,0,12
2009-08-25,485,29.33,82,8.3,21,0,1,0,1,510,1839,0,11,0,12
2009-08-26,486,29.36,72,3.9,2,0.93,1,0.54,1,511,1837,1,12,1,13
2009-08-27,487,29.36,67,10.7,8,0.95,1,1.19,1,512,1835,1,13,1,14
2009-08-28,488,29.18,71,2.6,2,0.22,1,0.28,1,513,1834,1,14,1,15
2009-08-29,489,29.18,69,10.4,31,0.02,1,0.01,1,514,1832,0,13,1,16
2009-08-30,490,29.44,66,9.4,1,0,1,0,1,515,1831,0,13,0,16
2009-08-31,491,29.55,67,5.3,4,0,1,0,1,516,1829,0,12,0,16
2009-09-01,492,29.57,71,3.2,6,0,1,0,1,517,1827,0,12,0,16
2009-09-02,493,29.51,72,3.2,8,0,1,0,1,518,1826,0,12,0,16
2009-09-03,494,29.42,75,5.2,6,0,1,0,1,519,1824,0,12,0,16
2009-09-04,495,29.44,75,3.8,4,0,1,0,1,520,1822,0,12,0,15
2009-09-05,496,29.49,78,5.2,6,0,1,0,1,521,1821,0,12,0,15
2009-09-06,497,29.47,77,6.3,8,0.03,1,0,1,522,1819,0,12,1,16
2009-09-07,498,29.39,77,6.3,4,0,1,0,1,523,1817,0,11,0,15
2009-09-08,499,29.36,78,6.9,4,0,1,0,1,524,1815,0,11,0,15
2009-09-09,500,29.42,77,6.8,7,0,1,0,1,525,1814,0,11,0,14
2009-09-10,501,29.48,80,6.6,7,0,1,0,1,526,1812,0,10,0,13
2009-09-11,502,29.44,78,6.4,8,0,1,0,1,527,1810,0,10,0,12
2009-09-12,503,29.41,78,3.2,6,0,1,0,1,528,1809,0,10,0,12
2009-09-13,504,29.39,79,2.5,7,0,1,0.01,1,529,1807,0,10,0,12
2009-09-14,505,29.34,84,1.1,13,0,1,0,1,530,1805,0,10,0,12
2009-09-15,506,29.36,83,5.8,2,0,1,0,1,531,1803,0,10,0,11
2009-09-16,507,29.49,72,12.5,6,0,1,0,1,532,1760,0,10,0,11
2009-09-17,508,29.45,71,4.5,8,0,1,0,1,533,1758,0,9,0,11
2009-09-18,509,29.46,79,5.3,3,0,1,0,1,535,1756,0,9,0,11
2009-09-19,510,29.48,75,4.4,10,0,1,0,1,536,1755,0,9,0,11
2009-09-20,511,29.28,71,5.9,8,0.75,1,0.44,1,537,1753,1,10,1,12
2009-09-21,512,29.26,69,3.6,23,0,1,0,1,538,1751,0,9,0,11
2009-09-22,513,29.28,76,5.2,18,0,1,0.04,1,539,1749,1,9,0,10
2009-09-23,514,29.42,76,0.8,31,0,1,0,1,540,1748,0,9,0,10
2009-09-24,515,29.44,71,4.1,7,0,1,0,1,541,1746,0,9,0,10
2009-09-25,516,29.39,70,5.4,11,0.16,1,0.02,1,542,1744,1,10,1,11
2009-09-26,517,29.15,66,3.9,26,0,1,0,1,543,1742,0,10,0,11
2009-09-27,518,28.84,74,7.6,23,0.08,1,0.48,1,544,1741,0,10,1,12
2009-09-28,519,28.91,63,19.8,28,0.01,1,0,1,545,1739,1,11,1,13
2009-09-29,520,29.28,58,8.4,33,0,1,0,1,546,1737,0,11,0,13
2009-09-30,521,29.39,61,4.8,3,0,1,0,1,547,1735,0,10,0,13
2009-10-01,522,29.13,59,8.8,13,0.89,1,0.59,1,548,1734,1,10,1,13
2009-10-02,523,28.8,56,10,22,0.21,1,0.17,1,549,1732,1,11,1,14
2009-10-03,524,29.02,58,9.4,26,0.11,1,0.03,1,550,1730,1,12,1,14
2009-10-04,525,29.28,61,8.9,27,0,1,0,1,552,1729,0,11,0,13
2009-10-05,526,29.29,61,2.9,9,0,1,0,1,553,1727,0,10,0,12
2009-10-06,527,28.9,62,9.5,24,0.03,1,0.05,1,554,1725,1,11,1,13
2009-10-07,528,29.24,60,8.5,26,0,1,0,1,555,1724,0,11,0,13
2009-10-08,529,29.18,54,4.8,20,0.12,1,0.14,1,556,1722,1,12,1,14
2009-10-09,530,29.21,52,9.3,35,0.46,1,0.43,1,557,1720,1,13,1,15
2009-10-10,531,29.49,48,7.8,29,0,1,0,1,558,1719,0,12,0,14
2009-10-11,532,29.6,45,1.1,1,0,1,0,1,559,1717,0,11,0,13
2009-10-12,533,29.44,49,0.6,24,0.02,1,0,1,600,1715,1,11,1,13
2009-10-13,534,29.6,48,8.5,2,0,1,0,1,602,1714,0,11,0,12
2009-10-14,535,29.4,48,10.7,10,0.03,1,0.03,1,603,1712,1,12,1,13
2009-10-15,536,29.26,44,9.4,7,0.29,1,0.33,1,604,1711,1,13,1,14
2009-10-16,537,29.41,46,7.1,35,0.04,1,0.08,1,605,1709,1,14,1,15
2009-10-17,538,29.57,52,6.9,35,0,1,0.01,1,606,1707,1,15,0,15
2009-10-18,539,29.49,53,5.8,21,0,1,0,1,607,1706,0,15,0,15
2009-10-19,540,29.25,66,10.7,21,0,1,0,1,608,1704,0,15,0,15
2009-10-20,541,29.31,64,6.4,19,0.03,1,0.05,1,610,1703,1,16,1,16
2009-10-21,542,29.25,70,11.1,21,0,1,0.01,1,611,1701,0,16,1,16
2009-10-22,543,29.18,58,8.7,6,1.03,1,0.84,1,612,1660,1,17,1,17
2009-10-23,544,28.73,62,6.6,19,0.89,1,1.29,1,613,1658,1,18,1,18
2009-10-24,545,29.03,49,9.6,26,0.04,1,0.05,1,614,1657,1,19,1,19
2009-10-25,546,29.26,63,6.3,19,0.27,1,0.24,1,616,1656,1,20,1,20
2009-10-26,547,29.28,55,5.2,21,0.11,1,0.13,1,617,1654,1,21,1,21
2009-10-27,548,29.19,52,5.5,5,0.06,1,0.16,1,618,1653,1,22,1,22
2009-10-28,549,29.28,58,1.8,13,0,1,0,1,619,1651,0,22,0,22
2009-10-29,550,29.21,60,11.1,14,0.6,1,1.05,1,620,1650,1,23,1,23
2009-10-30,551,28.79,68,15.7,21,0.81,1,1.15,1,622,1649,1,24,1,24
2009-10-31,552,29.18,47,13.4,26,0,1,0.01,1,623,1647,0,24,0,24
2010-05-01,553,28.89,71,7.4,22,0.11,1,0.01,1,448,1849,1,25,1,25
2010-05-02,554,28.9,68,2.8,26,0.93,1,0.31,1,447,1850,1,26,1,26
2010-05-03,555,29.07,72,8.9,25,0,1,0,1,446,1851,0,26,0,26
2010-05-04,556,29.05,80,12.1,21,0,1,0,1,444,1852,0,25,0,25
2010-05-05,557,29.08,73,9.7,27,0,1,0,1,443,1853,0,25,0,25
2010-05-06,558,29.27,60,5.9,6,0.01,1,0.05,1,442,1855,0,24,0,25
2010-05-07,559,28.98,59,3.7,31,0.72,1,0.74,1,441,1856,1,25,1,26
2010-05-08,560,29.36,50,13.6,29,0.02,1,0.08,1,439,1857,1,26,1,27
2010-05-09,561,29.59,56,1.8,6,0,1,0,1,438,1858,0,25,0,26
2010-05-10,562,29.47,58,12.5,12,0,1,0,1,437,1859,1,26,1,27
2010-05-11,563,29.16,59,3,12,0.97,1,0.72,1,436,1860,1,27,1,27
2010-05-12,564,29.36,53,8.3,6,0.12,1,0.14,1,435,1901,1,27,1,27
2010-05-13,565,29.23,78,5.9,25,1.49,1,0.97,1,434,1902,1,28,1,28
2010-05-14,566,29.46,67,11.9,26,0,1,0,1,433,1903,0,28,0,28
2010-05-15,567,29.53,63,4,5,0,1,0,1,432,1904,0,27,0,27
2010-05-16,568,29.44,66,11.1,5,0,1,0,1,431,1905,0,26,0,26
2010-05-17,569,29.29,60,7.9,3,0.01,1,0.11,1,430,1906,1,26,1,26
2010-05-18,570,29.26,62,9.6,2,0,1,0,1,429,1907,0,26,0,26
2010-05-19,571,29.31,73,6.4,4,0,1,0,1,428,1908,0,26,0,26
2010-05-20,572,29.29,72,6.3,12,0.05,1,0.09,1,427,1909,1,26,1,26
2010-05-21,573,29.15,72,5,12,0.21,1,0.4,1,426,1910,1,27,1,27
2010-05-22,574,29.23,72,2.7,9,0,1,0.01,1,425,1911,0,26,0,26
2010-05-23,575,29.26,89,9.7,18,0,1,0,1,425,1912,0,25,0,25
2010-05-24,576,29.33,91,6.3,13,0,1,0,1,424,1913,0,25,0,25
2010-05-25,577,29.33,87,6.4,12,0,1,0,1,423,1914,0,25,0,25
2010-05-26,578,29.29,85,3.2,2,0,1,0,1,422,1915,1,25,0,24
2010-05-27,579,29.31,77,12.7,2,0,1,0,1,422,1916,0,25,0,24
2010-05-28,580,29.28,76,10,2,0,1,0,1,421,1916,0,24,0,23
2010-05-29,581,29.23,84,4.5,7,0,1,0,1,421,1917,0,23,0,22
2010-05-30,582,29.16,91,4.5,17,0,1,0,1,420,1918,0,22,0,21
2010-05-31,583,29.15,84,1.6,19,0.26,1,1.57,1,420,1919,1,22,1,22
2010-06-01,584,29.1,84,4.4,17,0,1,0,1,419,1920,0,22,0,22
2010-06-02,585,29,77,2.8,32,1.02,1,1.3,1,419,1920,1,23,1,23
2010-06-03,586,29.1,71,6.1,4,0,1,0,1,418,1921,0,22,0,22
2010-06-04,587,29,83,6.8,21,0,1,0,1,418,1922,0,22,0,21
